name,code,summary,OI,OI_sec,OI_mar,EPS,EPS_sec,EPS_mar,PER,PER_sec,PER_mar,EV/EBITDA,EV/EBITDA_sec,EV/EBITDA_mar,ROE,ROE_sec,ROE_mar,DY,DY_sec,DY_mar,52B,52B_sec,52B_mar
3S,A060310,"동사는 1991년 1월 28일에 설립되었으며, 2002년 4월 23일 코스닥시장에 주식을 상장함. 동사는 반도체 웨이퍼캐리어 사업과 환경장치 사업을 주요 사업으로 영위하고 있으며, 동사의 종속회사인 상해삼에스공조기술유한공사는 환경시험장치 사업을 수행하고 있음. 동사가 영위하고 있는 반도체 웨이퍼캐리어 사업은 반도체 주재료인 실리콘 웨이퍼를 운송할때 사용되는 웨이퍼 이송박스를 생산하는 사업이며 모든 전자 기기의 핵심 부품임.2020년 6월 전년동기 대비 연결기준 매출액은 42.9% 감소, 영업이익 적자전환, 당기순이익 적자전환. 수익인식 기준 변경으로 인한 환경시험장치 매출액 감소함. 관계기업투자주식 손상차손 및 일부 기계장치 손상차손 발생으로 인한 영업외 비용 증가로 당기순이익은 적자전환함. 환경관련규제가 확대 강화될 것으로 예상되며, 친환경 및 대체 에너지에 대한 기기 수요가 지속적인 발생으로 시험장비의 성장이 기대됨.",5,"32,896","105,734",-24,487.64,929.35,N/A,164.38,78.76,34.83,16.54,13.99,-3.19,1.08,2.27, ,0.62,0.68,0.96,1.03,1.00
APS홀딩스,A054620,"동사는 1994년 9월 반도체장비, LCD장비, 콘트롤기기 및 소프트웨어 제조업을영위할 목적으로 설립되었음. TFT-LCD는 진입장벽이 매우 높은 산업으로 대규모 연구개발 비용 소요와 장비 대형화에 따른 인프라 구축을 위해 대규모의 자금력이 요구됨. 동사는 디스플레이 및 반도체 장비 제조와 판매를 담당하는 장비사업부문을 신설회사인 사업회사로 이전하였으며, 분할 존속회사로 자회사 지분의 관리 및 투자 부문을 담당하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 12.6% 증가, 영업손실은 2.2% 감소, 당기순손실은 43.7% 증가. 동사는 FMM 스틱 생산 시설 투자를 통한 미래성장동력 강화 목적으로 자기자본대비 8.42%에 해당하는 규모의 생산시설투자를 진행하기로 함. OLED 핵심소재 양산 마진 개선 기대되고 있음. 현재 FMM양산 공장 투자를 진행중이며 향후 글로벌 고객사가 추가 물량 요구시 2차 양산 라인 투자로 있을 것임.",-106,"6,984","105,734",-130,"1,201.57",929.35,N/A,17.12,78.76,N/A,7.59,13.99,-1.22,5.02,2.27, ,1.23,0.68,0.96,0.83,1.00
AP시스템,A265520,"동사는 APS홀딩스에서 인적분할의 방법으로 승계하였고 AMOLED 제조장비, 반도체 제조장비, LCD제조장비, 콘트롤기기 및 제조업을 영위하고 있음. 동사의 주요사업은 장비사업으로 AMOLED장비 제조, 반도체장비 제조, LCD장비제조, 레이저응용장비 제조 사업등을 영위하고 있음. 주요 고객사로는 삼성전자. 삼성디스플레이가 있으며 특히 삼성전자의 8세대 이상 대형패널 부문에 대량 공급하고 있음. 2020년 6월 전년동기 대비 연결기준 매출액은 7.6% 증가, 영업이익은 19% 증가, 당기순이익은 113.4% 증가. 동사 매출은 전년 동기 대비 소폭 증가했으며 매출 증가에 따라 매출원가와 판관비 부담이 늘었음에도 영업이익은 전년 동기 대비 증가함. 전반적인 수익성이 개선되면서 법인세 비용 부담이 늘었음에도 불구하고 당기순이익은 전년 동기 대비 2배 이상 증가함.",284,"28,444","105,734",618,"1,584.80",929.35,54.33,50.13,78.76,13.97,11.83,13.99,8.57,3.61,2.27,0.15,0.69,0.68,1.37,1.01,1.00
AP위성,A211270,"동사는 2011년 2월 10일에 설립되었으며, 주요 목적사업은 인공위성 및 인공위성 관련부품, 위성통신단말기의 개발 및 제조임. 주요 제품은 위성통신단말기이며, 주요 고객은 UAE 두바이 소재의 이동위성통신사업자인 THURAYA임. 주요 고객인 THURAYA 역시 위성휴대폰은 2003년 10월 THURAYA 2세대 위성휴대폰 개발/생산/공급 계약 이래 현재까지 동사로부터만 받고 있음.2020년 6월 전년동기 대비 별도기준 매출액은 2.2% 증가, 영업이익은 9.2% 감소, 당기순이익은 11.2% 증가. 달 궤도선 탑재컴퓨터(OBC)와 탑재자료처리장치(PDHU)의 비행모델 개발에 성공해 한국항공우주연구원에 납품을 완료했음. 달 궤도선 발사가 성공적으로 완료되면 AP위성의 위성 본체 및 탑재체에 대한 기술력도 전세계 우주 산업 시장에서 인정받을 것으로 기대됨.",71,"28,444","105,734",48,"1,584.80",929.35,147.90,50.13,78.76,13.20,11.83,13.99,0.87,3.61,2.27,1.00,0.69,0.68,0.46,1.01,1.00
CJ ENM,A035760,"동사는 1994년 12월 종합유선방송사업과 홈쇼핑 프로그램의 제작공급 및 도소매업을 목적으로 실립되어 1999년 11월 코스닥시장에 상장함. 당사는 방송채널사용사업자로서 현재 tvN, Mnet, OCN, Olive, XtvN, Tooniverse 등의 채널을 운영하고 있음. 동사는 , , ,  등 박스오피스 최고 기록의 흥행 영화는 물론, 영화 시장의 산업화를 선도함.2020년 6월 전년동기 대비 연결기준 매출액은 11.7% 감소, 영업이익은 32% 감소, 당기순이익은 42.5% 감소. 당기 전체 매출액에서 커머스 부문이 45.63%, 미디어 부문이 45.33% 정도로 주를 이룸. 극장수입 등 극장사업은 4.05%, 음원유통 등 음악사업은 5%를 차지함. 2020년 모바일 광고시장이 지속적으로 성장할 것으로 보이나 기존 4대 매체 성장률은 크게 둔화됨.","2,694","5,636","105,734","4,754","2,021.96",929.35,33.57,20.36,78.76,4.03,5.20,13.99,3.65,5.41,2.27,0.88,1.32,0.68,0.62,0.66,1.00
CJ프레시웨이,A051500,"푸드 서비스업(단체급식 등) 및 식자재유통업 등을 영위할 목적으로 1988년 10월에 설립, 현재 대한민국 대표 식자재유통, 푸드 서비스 회사임. 업부문은 크게 식자재유통사업 및 푸드서비스사업, 제조/서비스업으로 구성되어 있으며, 업계 최고 수준의 위생/안전시스템, 물류/IT 인프라를 보유하고 있음. 푸드서비스 사업은 현재 병원 위탁 급식 시장 내 1위를 이어가고 있음(수도권 기준).2020년 6월 전년동기 대비 연결기준 매출액은 18.4% 감소, 영업이익 적자전환, 당기순이익 적자전환. 푸드서비스, 기타 부문에서의 매출은 증가하였으나 식자재유통의 매출은 감소. 영업이익 및 당기순이익은 적자전환함. 단체급식 메뉴역량 강화를 위해 집중하고 있으며 전반적으로 일품메뉴와 직화메뉴 등 트렌드와 고객니즈를 반영한 신메뉴 개발에 박차를 가하고 있음.",581,"10,387","105,734",434,280.23,929.35,66.06,216.36,78.76,7.63,15.49,13.99,2.59,0.85,2.27,0.87,0.42,0.68,0.68,1.00,1.00
CMG제약,A058820,"동사는 2006년 05월 제약사업에 진출, 2008년 2월 쎌라트팜코리아와의 합병을 거쳐 현2012년 차바이오텍 그룹에 편입된 제약업체. 연구개발 역량을 강화하여 전문의약품과 일반의약품의 제조 및 생산, 판매를 통해 내실있는 회사로 발돋움하려고 노력하고 있음. 최근 4년간 20%대의 고성장을 달성하고 있으며 이는 국내 제약사 평균 성장률 5%의 약 4배에 달하는 수치.2020년 6월 전년동기 대비 연결기준 매출액은 10.4% 증가, 영업이익은 29% 감소, 당기순이익은 22% 감소. 코로나19라는 어려운 환경에서도 영업조직과 제품라인업을 확충하고 타사와의 제휴 및 시장성 있는 의약품을 적극 개발한 결과. 약품시장에 대한 브랜드 인지도 제고 및 매출 증대를 위하여 R&D 역량개발 및 제품경쟁력 강화를 최우선 과제로 삼아 시장확대 및 매출증대에 총력을 기울이고 있음.",26,"32,896","105,734",25,487.64,929.35,170.33,164.38,78.76,125.34,16.54,13.99,2.15,1.08,2.27, ,0.62,0.68,1.40,1.03,1.00
CNH,A023460,"2009년 8월 31일 여신전문 금융 부문, 자동차렌탈 부문을 물적분할의 방법으로 분할하여 '씨앤에이치리스'라는 분할 신설회사를 설립하고, 사명을 '씨앤에이치'로 변경함. 분할 이후 주요 사업으로, 타회사 주식취득을 통해 실질적인 지배권을 취득하는 것을 목적으로 하는 지주사업, 기타 유가증권 취득 등의 투자업무 등을 영위함. 당분기말 현재 씨앤에이치하스피탤러티 등 8개 연결대상 종속회사를 보유하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 117.7% 증가, 영업이익은 90% 감소, 당기순이익 적자전환. 매출액은 성장하였으나 원가 및 관리비 등도 크게 증가함에 따라 영업이익이 감소하였음. 배당금 수익이 크게 발생했음에도 당기순이익은 적자를 지속하고 있음. 씨앤에이치파트너스 주식회사는 경영컨설팅, 자산관리컨설팅, 금융상품에 대한 투자 및 자문, 기업의 인수합병 등의 중개 및 지원 등 업무에 주력함.",211,"6,984","105,734",414,"1,201.57",929.35,4.62,17.12,78.76, ,7.59,13.99,15.27,5.02,2.27,1.57,1.23,0.68,0.48,0.83,1.00
CS,A065770,"1999년 설립된 동사는 RF중계기, 광중계기 등 통신장비의 제조 및 판매를 주요 사업으로 영위하고 있음. 통신 음영지역에서 미세한 기지국 신호를 증폭하여 재 방사하는 이동통신중계기와 휴대인터넷(WiBro) 중계기, 디지털방송통신 시스템 등을 국내외 이동통신사업자 등에 공급하고 있음. 당기말 현재 CS JAPAN 등 2개사를 연결대상 종속기업으로 보유하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 21.5% 증가, 영업손실은 56% 감소, 당기순손실은 65.5% 감소. 5G 전국망 전개 이후 국내 중계기 수요 증가로 매출이 크게 성장했으나 여전히 높은 원가율을 보이며 영업손실 및 순손실 상태를 지속함. 국내 시장의 경우 SK텔레콤 등 1대 통신사업자와의 거래에 집중하고, 미국향 DAS 시스템 개발과 파일러 제품 공급 등 해외 거래선 확대를 통한 성장전략을 보유하고 있음.",-9,"28,444","105,734",-28,"1,584.80",929.35,N/A,50.13,78.76,N/A,11.83,13.99,-2.34,3.61,2.27, ,0.69,0.68,1.48,1.01,1.00
CSA 코스믹,A083660,"동사는 1989년 11월 7일에 설립되었으며, 2006년 7월 25일 코스닥시장에 상장됨.  동사는 화장품 제조 및 판매 등의 사업을 영위하며 연결종속회사인 (주)젠트로그룹은 건설자재 제조 등의 사업을 영위함. 현재 10~20대 대상 색조 화장품 라인인 `16브랜드(16brand)`와 뷰티&라이프스타일 콜라보레이션을 추구하는 생활용품 전문브랜드 `원더바스(Wonderbath)`를 보유하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 3.5% 감소, 영업이익 흑자전환, 당기순이익 흑자전환. 11번가, GS와 협업해 라이브커머스를 진행하는 등 이커머스 사업을 강화하고 있으며 고비용 구조의 오프라인 매장 의존도를 낮춰 코로나19 재확산의 불활실성에 대비하고 있음. 마스크 장시간 착용에 따른 피부트러블로 케어 제품이 주목을 받기함에 따라 하반기 '피부정화, 셀프케어, 항균세럼, 항염세럼'관련 신제품을 출시할 계획임.",-57,"32,896","105,734",-387,487.64,929.35,N/A,164.38,78.76,N/A,16.54,13.99,-38.05,1.08,2.27, ,0.62,0.68,0.07,1.03,1.00
DB금융스팩7호,A322780,관련 데이터가 없습니다.,0,"6,984","105,734",8,"1,201.57",929.35,267.35,17.12,78.76, ,7.59,13.99, ,5.02,2.27, ,1.23,0.68,-0.02,0.83,1.00
DMS,A068790,"동사는 디스플레이패널 생산설비의 제조 및 판매 등을 영위할 목적으로 1999년 7월 8일에 설립되었으며, 2004년 10월 1일 코스닥시장에 상장. 주요제품은 디스플레이 세정장비와 약액장비이며, LCD와 OLED 공정에 모두 사용되고 있으며 주요 매출처는 LG Display, BOE, CSOT, HKC 등임. 중국에 생산공장을 보유하고있으며, 설계, 구매, 가공, 생산, CS까지 회사 자체역량으로 내재화시켜 현지에서 운영하고있음.2020년 6월 전년동기 대비 연결기준 매출액은 13.8% 증가, 영업이익은 35.4% 증가, 당기순이익은 40.9% 증가. 동사는 디스플레이패널 외에도  최근 미용 의료기기업체 비올을 인수해 사업 영역을 확장했으며 이에따라 매출액 및 영업이익, 당기순이익이 모두 증가하였음. 또한 코로나19 확산 악재에도 불구하고 올 상반기 중국 등지에 디스플레이 장비를 활발히 수출하면서 매출액 증가와 함께 개선된 이익을 실현함.",227,"32,896","105,734",749,487.64,929.35,7.31,164.38,78.76,7.59,16.54,13.99,10.87,1.08,2.27,1.37,0.62,0.68,1.38,1.03,1.00
