name,code,summary,OI,OI_sec,OI_mar,EPS,EPS_sec,EPS_mar,PER,PER_sec,PER_mar,EV/EBITDA,EV/EBITDA_sec,EV/EBITDA_mar,ROE,ROE_sec,ROE_mar,DY,DY_sec,DY_mar,52B,52B_sec,52B_mar
AJ네트웍스,A095570,"2000년 설립된 동사는 파렛트, OA기기, 건설장비 장단기 대여·판매업을 주요 사업으로 영위하고 있음. 동사의 사업부문은 파렛트 부문, IT기기 렌탈 부문, 건설장비 렌탈 부문 등으로 나눌 수 있음. 2016년 지게차렌탈사업에 진출하였으며, 2017년 고소장비(AWP)의 현장 영업력을 활용할 수 있는 고소작업트럭 임대 사업에 진출 하였음. 해외시장 개척으로 물류부자재 유통사업을 확대할 예정.2020년 6월 전년동기 대비 연결기준 매출액은 8.5% 증가, 영업이익은 15.5% 증가, 당기순이익은 95.2% 감소. 동사 매출은 파렛트(37.2%), IT(44.5%), 건설장비(해외)(18.3%)로 구성됨. IT 부문 매출이 늘어나며 전체 외형성장을 견인함. 캐피탈 사업은 2019년 상반기부터 여신포트폴리오 개선을 위해 우량신용등급의 리스 이용자 위주로 PC방리스, 스크린골프리스 등의 일반리스 상품으로 다각화함.",178,"80,528","1,381,841",982,"5,162.54","3,242.61",5.06,35.78,19.81,6.49,12.17,7.14,15.18,6.55,4.70,6.04,1.03,1.99,0.59,0.67,1.00
AK홀딩스,A006840,"2012년 9월 인적분할을 통해 제조사업부문을 신설회사 애경유화에 승계하고 지주회사로 전환하면서 AK홀딩스로 상호를 변경함.  지주회사로 주요 매출은 배당금 수익, 상표권 수익, 경영자문수수료 수익으로 구성되어 있음. 종속회사가 영위하는 주요사업부문은 화학부문(애경유화,에이케이켐텍 등), 생활용품화장품부문(애경산업 등), 항공운송부문(제주항공, 모두락), 백화점부문(AK Plaza) 등이 있음.2020년 6월 전년동기 대비 연결기준 매출액은 29.5% 감소, 영업이익 적자전환, 당기순이익 적자전환. 생활용품, 항공운송, 백화점 부문에서의 수익성 하락으로 지난해 같은기간 대비 비교적 큰 폭으로 수익성 하락한 모습. 코로나19로 인한 글로벌 경기 둔화에 따라 화학부문을 제외한 동사의 주요 종속회사들(항공,여행,백화점 등)의 급격한 실적 개선은 어려울 전망.","1,313","421,978","1,381,841","2,135","3,122.72","3,242.61",16.21,8.13,19.81,5.48,3.31,7.14,3.38,7.07,4.70,2.17,3.54,1.99,1.17,0.85,1.00
BGF,A027410,"동사는 1990년 편의점 사업을 시작하였으며, 편의점 체인화 사업을 목적으로 1994년 (주)보광 CVS 사업부에서 별도법인 (주)보광훼미리마트를 설립함. BGF그룹에 속한 계열회사로서 현재 15개의 계열회사가 있음. 이 중 상장회사는 당사를 포함하여 총 2개사이며, 비상장회사는 13개사임. 주요 수익은 브랜드 사용수익, 업무용역제공을 통한 경영지원용역수익, 종속회사 등으로부터 수취하는 배당금 수익 및 임대수익임.2020년 6월 전년동기 대비 연결기준 매출액은 11.4% 감소, 영업이익은 69.4% 감소, 당기순이익은 49.1% 감소. 편의점 체인화사업은 인프라 구축에 따른 고정비 성격의 비용이 발생하고, 구매협상력 강화로 원가율의 안정화가 가능으로 점유율이 지속적으로 상승할 것으로 예상. 2020년도 중 코로나19의 장기화 및 확산 우려로 인하여 경제활동 위축 및 경기악화의 불확실성에 직면함.",294,"421,978","1,381,841",281,"3,122.72","3,242.61",19.91,8.13,19.81,12.11,3.31,7.14,1.79,7.07,4.70,1.96,3.54,1.99,0.83,0.85,1.00
BGF리테일,A282330,"2017년 인적분할하여 설립된 신설법인으로 2017년 12월 유가증권시장에 재상장되어 거래가 개시됨. 동사는 편의점 체인화 사업을 영위하고 있으며, 당사의 종속회사는 물류사업, 식품제조 및 유통 등 당사의 업무를 보조하는 업무를 수행하고 있음. 브랜드 독립에 맞춰 차별화된 한국형 편의점 모델을 개발하였으며, 가맹점의 수익성과 운영 편리성을 향상시킴으로써 점포 개발 경쟁력 또한 갖추고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 2.6% 증가, 영업이익은 27.8% 감소, 당기순이익은 32.7% 감소. 1~2인가구의 증가에 따른 근거리 소량구매 패턴의 확산과 다양한 생활편의서비스 기능 강화를 통해 편의점의 성장세는 계속 될 것으로 전망되고 있음. 2020년도 중 코로나19의 장기화 및 확산 우려로 인하여 매출의 감소나 지연, 기존 채권 등 금융상품의 회수 지연 등에 부정적인 영향을 미칠 수 있음.","1,966","56,533","1,381,841","8,758","2,581.43","3,242.61",19.35,28.06,19.81,5.57,9.02,7.14,26.46,2.88,4.70,1.59,1.64,1.99,0.62,0.84,1.00
BNK금융지주,A138930,"동사는 2011년 부산은행, BNK투자증권, BNK신용정보, BNK캐피탈이 공동으로 주식의 포괄적 이전 방식에 의해 설립한 지방은행 최초의 금융지주회사임. 2015년 경남은행의 계열사 편입으로 부산·경남은행 두 은행 체제가 되었음. 2015년에 GS자산운용(BNK자산운용 사명 변경)을 자회사로 편입하여 은행, 증권, 자산운용, 여신전문, 저축은행업 등을 포괄하는 종합금융그룹이 되었음. 2019년 11월 BNK벤처투자 자회사 편입.2020년 6월 전년반기대비 연결기준 매출액 0.8% 감소, 영업이익 10.8% 감소, 당기순이익 11.5% 감소. 코로나19관련 충당금적립(255억원), 라임펀드관련 충당금(116억원), 희망퇴직관련 비용(182억원) 등 일회성비용 증가로 순익 감소. 반면 2분기 순익 증가(QoQ 25.8%)함. 엘시티PF수수료 400억원 발생. 전분기대비 대출 2.1% 증가로 그룹 NIM 3bp감소를 상쇄하면서 순이자이익 0.2% 증가기록.","8,069","421,978","1,381,841","1,725","3,122.72","3,242.61",4.44,8.13,19.81, ,3.31,7.14,7.07,7.07,4.70,4.70,3.54,1.99,0.96,0.85,1.00
BYC,A001460,"1955년 설립되어 1975년 유가증권시장에 상장하였음. 섬유류 제품 제조, 위탁가공 업체 PT. BYC INDONESIA와 광고대행사 (주)바이콤광고 등 2개사를 연결대상 종속회사로 보유함. 메리야스류 제품을 제조해 판매하는 것이 주요 사업임. 이밖에 부수적으로 건축도급공사와 자체분양공사로 건설업을 영위하고 있으며, 당사 보유부동산을 통하여 임대사업도 영위함. BYC, 르송, 스콜피오 등의 브랜드를 보유함.2020년 6월 전년동기 대비 연결기준 매출액은 1% 증가, 영업이익은 5% 감소, 당기순이익은 0.1% 증가. 해외 유명브랜드, 다수의 저가 브랜드, SPA 브랜드 등의 시장 진입으로 인해 경쟁이 갈수록 심해짐. 이로 인해 영업이익이 전년 동기 대비 악화됨. 코로나19로 인한 소비심리 침체 역시 실적 악화 원인임. 동사는 다양한 기능성 제품, 캐릭터 제품 등을 출시해 고객 층을 넓히는데 주력하고 있음.",234,"5,512","1,381,841","33,063","1,121.74","3,242.61",7.15,46.03,19.81,6.88,8.90,7.14,6.60,1.91,4.70,0.47,1.44,1.99,0.18,0.62,1.00
CJ,A001040,"1953년에 설립되었으며, 2007년 9월 투자사업부문과 제조사업부문을 인적분할하여 지주회사로 전환함. 2020년 6월말 현재 CJ제일제당, CJ이엔엠 등 8개 자회사의 지분을 보유하고 있으며, 계열사(국내 기준)는 총 77개사임. 생활문화그룹 CJ는 지주회사인 동사를 비롯하여 식품&식품서비스, 생명공학, 물류&신유통, 엔터테인먼트&미디어 등 4대 주력 사업군으로 이루어지며, 시너지&인프라 분야가 업무역량을 뒷받침하고 있음.식품, 생명공학, 신유통 등의 견조한 실적에도 불구하고 CGV와 ENM이 포함된 언터테인먼트 부문의 부진으로 상반기 매출액은 전년동기 대비 소폭 감소함. 외형축소에 따른 고정비용 부담으로 영업이익은 12.1% 감소함. 지분법이익이 늘어나고 매각예정자산처분이익이 대규모로 발생함. 제일제당이 하반기에도 호실적 시현에 따라 지주 전체의 실적을 견인할 예상임. 올리브영은 온라인 매출 비중이 커지며 안정적인 실적 흐름을 이어갈 전망임.","15,092","421,978","1,381,841","8,445","3,122.72","3,242.61",11.44,8.13,19.81,6.62,3.31,7.14,6.24,7.07,4.70,1.92,3.54,1.99,1.08,0.85,1.00
CJ CGV,A079160,"1999년 3월에 CJ엔터테인먼트와 호주의 Village Cinema International PTY LTD 2개사의 합작법인인 CJ Village(주)로 설립. 고품질의 멀티플렉스 극장을 국내에 최초로 보급, 단일관 위주 상영문화를 종합엔터테인먼트 플랫폼으로 선진화. 영화 상영업계에서 시장점유율 1위의 타이틀을 유지하고 있으며 ScreenX, 4DX 및 골드클래스, 씨네드쉐프, 템퍼시네마 등 프리미엄 상영관을 운영하고 있음.2020년 6월 전년동기 대비 연결기준 매출액은 69.9% 감소, 영업이익 적자전환, 당기순손실은 1415.9% 증가. 2020년 상반기 전체 극장 매출액은 2,738억원으로 전년 대비 70.6% 감소하였는데  코로나19로 인한 사회적 거리두기 캠페인 및 개봉 연기된 예정작들을 원인으로 보고있음. 동사는 국내에서 쌓은 차별화된 서비스 노하우와 핵심역량을 바탕으로 '한류 콘텐츠 허브'라는 또 다른 역할을 꿈꾸며 더욱 성장하고자 함.","1,220","80,528","1,381,841","-6,695","5,162.54","3,242.61",N/A,35.78,19.81,7.68,12.17,7.14,-57.60,6.55,4.70, ,1.03,1.99,1.04,0.67,1.00
CJ대한통운,A000120,"1930년 11월에 설립되어 CL사업부문, 택배사업부문, 글로벌사업부문, 건설사업부문을 주된 사업부문으로 영위함. 계약물류, 택배사업, 항공포워딩, 해상포워딩 등 화물운송을 주된 사업으로 영위하고 있으며, 당일 배송서비스, 물류 자동화 등의 서비스를 통해 경쟁우위를 갖추고 있음. 매출구성은 글로벌사업부문 39.8%, 택배사업부문 29.2%, CL사업부문 24.3% 등으로 이루어져 있음.2020년 6월 전년동기 대비 연결기준 매출액은 4% 증가, 영업이익은 21.3% 증가, 당기순이익 흑자전환. 택배사업부문은 코로나19로 인한 비대면 채널 활성화로 택배 물동량이 급증하였고, 글로벌사업부문은 중국법인의 정상화, 수익성 위주의 포워딩 사업 영위하며 흑자전환을 기록함. 코로나19 사태가 예상보다 길어지면서 연말까지 택배물동량 성장률은 높은 수준을 유지하며, 택배사업부문이 동사의 실적을 견인할 것으로 예상됨.","3,072","11,408","1,381,841","1,741","-1,438.47","3,242.61",89.01,N/A,19.81,9.44,9.00,7.14,1.41,-7.92,4.70, ,0.82,1.99,0.66,0.83,1.00
CJ씨푸드,A011150,"동사는 1976년 삼호물산 주식회사로 설립되어, 1985년 삼호어묵을 출시하면서 내수식품사업을 시작. 주요 사업 내용은 어묵, 맛살, 햄, 김 등을 생산 판매하는 식품사업임. 제품차별화 및 끊임없는 신제품 개발 ,마케팅 전략으로 어묵부문 40.9%로 시장점유율 1위를 유지하고 있으며 맛살부문은 3위를 기록함. 1인가구의 증가와 인구 고령화로 인해 간편식 프리미엄 식품 시장이 뚜렷한 성장세를 보이고 있어 식품시장의 성장세가 기대됨.2020년 6월 전년동기 대비 별도기준 매출액은 1.2% 감소, 영업이익은 176% 증가, 당기순이익은 586.1% 증가. 동사 매출은 전년 동기 대비 소폭 감소했지만 매출원가와 판관비 절감 노력에 힘입어 인건비 부담 증가에도 불구하고 영업이익은 전년 동기 대비 큰 폭으로 증가함. 영업이익이 증가하면서 법인세 비용 부담이 늘어났음에도 불구하고 당기순이익은 전년 동기 대비 큰 폭으로 늘어남.",37,"25,675","1,381,841",51,"3,534.69","3,242.61",53.27,25.42,19.81,12.55,8.65,7.14,2.90,4.00,4.70, ,1.32,1.99,0.90,0.57,1.00
